Date	HIGH	OPEN	LOW	CLOSE	VOLUME	MRG_LONG_BAL	MRG_SHORT_VOL_BAL	MFD_NETBUYAMT	PE_TTM	PB_LF	BOLL	MACD	ROE_AVG	TECH_REVS5	TECH_REVS10	TECH_TURNOVERRATEVOLATILITY20	TECH_TURNOVERRATE5	TECH_BULLPOWER	TECH_AD6
2016-06-30	8.137453732480216	8.09771036870742	7.819506822297838	7.879121867957034	39987914.0	795518637.0	0.0	-14693056.999999998	789.858642578125	4.140357971191406	7.460822379234495	0.3664994669245827	1.02	1.03660131	1.06157213	1.98941288	0.0475598	-106.29290922	0.09499999999999997
2016-07-01	7.9586085955026284	7.898993549843433	7.690340890036248	7.7300842538090455	29780634.999999996	766241432.0	0.0	-8322761.0	774.9180908203125	4.062041282653809	7.488314156830546	0.33811295784954876	1.02	1.00907912	1.05560431	1.99979233	0.040328	-106.49685729	0.11166666666666665
2016-07-04	7.8493143451274365	7.670469208149849	7.66053336720665	7.819506822297838	32177327.0	794232751.0	0.0	-20245205.0	783.8824462890625	4.1090312004089355	7.529549531581529	0.31915310055796464	1.02	0.95163241	1.00902428	1.46162839	0.0322224	-106.81685445	0.023333333333333334
2016-07-05	7.8493143451274365	7.8493143451274365	7.610854162490654	7.749955935695444	39344892.0	785432172.0	0.0	-43611001.0	776.91015625	4.072483539581299	7.560095441878676	0.29511322026655584	1.02	0.95238095	1.03861518	1.41067979	0.0299866	-106.84948627	-0.11833333333333333
2016-07-06	7.809570981354639	7.7300842538090455	7.640661685320252	7.7300842538090455	32246133.0	768748017.0	0.0	-24849505.0	774.9180908203125	4.062041282653809	7.587587219474727	0.2713302372066613	1.02	0.95812808	1.01434159	1.37556807	0.0278288	-106.87535191	-0.11499999999999999
2016-07-07	7.998351959275427	7.7300842538090455	7.7201484128658455	7.9586085955026284	55840137.0	784286583.0	20000.0	3002276.0	797.8269653320312	4.182126998901367	7.633027743803932	0.2678346254605728	1.02	1.01008827	1.04705882	1.36143508	0.030371	-107.15743846000001	-0.044999999999999984
2016-07-08	8.018223641161825	7.9685444364458276	7.7300842538090455	7.740020094752245	37982879.0	757628438.0	0.0	-47513169.0	775.9141235351562	4.067262172698975	7.655558715559403	0.24460639254596472	1.02	1.00128535	1.01037613	1.39830783	0.0316862	-107.0789346	-0.04833333333333334
2016-07-11	7.779763458525042	7.7201484128658455	7.531367434945059	7.561174957774657	37001280.0	749846339.0	0.0	-48368745.0	757.9854125976562	3.9732818603515625	7.666249714171842	0.20935324879361872	1.02	0.96696315	0.92019347	1.42691127	0.0324598	-106.88984796	-0.04666666666666667
2016-07-12	7.561174957774657	7.51149575305866	7.193548842876284	7.541303275888258	41585309.0	742123738.0	20000.0	-23787498.0	755.9933471679688	3.9628396034240723	7.648316730859331	0.17776226697057407	1.02	0.97307692	0.92673993	1.44151434	0.0328192	-106.69995492	-0.07666666666666667
2016-07-13	7.650597526263451	7.551239116831457	7.432009025513067	7.5909824806042545	28320573.0	752090795.0	0.0	8316704.0	760.9735107421875	3.988945245742798	7.638782358380871	0.15494873039743506	1.02	0.98200514	0.9408867	1.45926966	0.0321898	-106.36387927	-0.03333333333333335
