Date	HIGH	OPEN	LOW	CLOSE	VOLUME	MRG_LONG_BAL	MRG_SHORT_VOL_BAL	MFD_NETBUYAMT	PE_TTM	PB_LF	BOLL	MACD	ROE_AVG	TECH_REVS5	TECH_REVS10	TECH_TURNOVERRATEVOLATILITY20	TECH_TURNOVERRATE5	TECH_BULLPOWER	TECH_AD6
2016-06-30	18.889162690213322	18.61254315290894	18.61254315290894	18.7903699983189	6658491.0	930974629.0	32100.0	10162062.0	17.206504821777344	2.449559211730957	18.39733504191696	0.0364591562445149	8.0715	1.02148228	1.04633309	0.09663018	0.003631	-231.82282304999998	0.05166666666666667
2016-07-01	18.869404151834438	18.810128536697782	18.70145657561392	18.721215113992805	4697406.0	934384556.0	40400.0	6333138.0	17.143178939819336	2.4405438899993896	18.41659169915512	0.053774997656049095	8.0715	1.02598809	1.03298481	0.09947221	0.0033086	-232.34591758000002	0.05000000000000001
2016-07-04	19.096627343191603	18.671818768045593	18.632301691287825	19.086748074002163	9650161.0	929086589.0	37000.0	20310108.0	17.477901458740234	2.4881956577301025	18.454763537615868	0.0958880440315717	8.0715	1.03260289	1.04698199	0.10176506	0.003699	-233.25691801	0.16833333333333333
2016-07-05	19.383126149685427	19.274454188601567	19.12626515075993	19.185540765896587	10134908.0	948953768.0	35900.0	-8077505.0	17.56836700439453	2.5010745525360107	18.494120206645203	0.13567075329136458	8.0715	1.02914679	1.05296213	0.09250205	0.00396	-234.13674988	0.13166666666666668
2016-07-06	19.610349341042596	19.1657822275177	18.968196843728858	19.481918841579848	12373675.0	961143286.0	68100.0	361481.0	17.83976173400879	2.5397112369537354	18.545623143388852	0.18893613264295794	8.0715	1.047265	1.05850778	0.11209675	0.004564	-235.48495741	0.16166666666666668
2016-07-07	20.084554262135814	19.52143591833762	19.472039572390408	19.66962495617925	20029997.0	976522651.0	50300.0	4282200.0	18.011646270751953	2.564181089401245	18.605839767993164	0.24348885628939598	8.0715	1.04679285	1.06928034	0.18463475	0.0059664	-236.72218657000002	0.22
2016-07-08	19.748659109694785	19.748659109694785	19.422643226443196	19.59059080266371	7257672.0	964503617.0	46900.0	-8742062.0	17.939273834228516	2.553877830505371	18.639109066829754	0.2771500736089898	8.0715	1.04643799	1.07363292	0.18460074	0.006235	-238.38063208	0.16166666666666668
2016-07-11	20.133950608083026	20.05491645456749	19.709142032937017	19.748659109694785	13086068.0	957264532.0	56837.0	2238679.0	18.08401870727539	2.57448410987854	18.68368769263763	0.31297385442187675	8.0715	1.03467909	1.06841261	0.19407892	0.0065954	-239.42765863	0.21333333333333335
2016-07-12	20.627914067555132	19.83757253239976	19.75853837888423	20.51924210647127	23607332.0	914336349.0	85800.0	20385903.0	18.789648056030273	2.6749391555786133	18.75790412601383	0.3989452738395336	8.0715	1.06951596	1.10068892	0.2651942	0.0080084	-241.65568138000003	0.26666666666666666
2016-07-13	21.13175679621668	20.598276259986807	20.50936283728183	20.53900064485015	20178672.0	911691242.0	43600.0	-10966800.0	18.807741165161133	2.6775150299072266	18.82055317237895	0.4633315938369833	8.0715	1.05425963	1.10408922	0.29569342	0.008827	-243.52235289000004	0.255
2016-07-14	20.716827490260112	20.50936283728183	20.42044941457685	20.637793336744576	6523004.0	912777147.0	92600.0	393857.0	18.89820671081543	2.6903939247131348	18.889243270534884	0.51637748271731	8.0715	1.0492215	1.09831756	0.29544126	0.0074104	-246.1713314	0.205
2016-07-15	21.151515334595565	20.756344567017884	20.74646529782844	20.8551372589123	11357813.0	928158370.0	101200.0	9517618.0	19.097230911254883	2.7187273502349854	18.96741341674855	0.5693909850874448	8.0715	1.06454866	1.11398417	0.29441081	0.0078404	-248.06391370999998	0.20833333333333334
2016-07-18	21.02308483513282	20.8551372589123	20.46984576052406	20.687189682691788	11008804.0	930152424.0	96000.0	-19319429.0	18.943439483642578	2.6968331336975098	19.043980262022117	0.5910394667890486	8.0715	1.04752376	1.08385093	0.28887038	0.0076224	-249.86715642	0.17833333333333334
2016-07-19	20.726706759449556	20.548879914039595	20.351294530250755	20.588396990797364	8041509.0	917133591.0	42900.0	-1936309.0	18.85297393798828	2.6839544773101807	19.139160717094647	0.5933841369535564	8.0715	1.00337025	1.07312049	0.28578971	0.0059898	-251.40953296	0.12833333333333333
2016-07-20	20.825499451343973	20.548879914039595	20.529121375660715	20.588396990797364	5757160.0	912175960.0	42900.0	-11351107.0	18.85297393798828	2.6839544773101807	19.23807672695351	0.5884589168607519	8.0715	1.002405	1.05679513	0.28457866	0.0044772	-252.37442714000002	-0.0016666666666666774
2016-07-21	21.191032411353333	20.588396990797364	20.489604298902943	20.98356775837505	12540523.0	907083137.0	161000.0	43488228.0	19.21483612060547	2.7354698181152344	19.345467613873037	0.6094176356619201	8.0715	1.01675443	1.0668006	0.27628248	0.0051084	-253.68451958000003	0.07666666666666666
